ï»¿"Data Source","World Development Indicators"

"Last Updated Date","2020-03-18"

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Aruba","ABW","Population, total","SP.POP.TOTL","54211","55438","56225","56695","57032","57360","57715","58055","58386","58726","59063","59440","59840","60243","60528","60657","60586","60366","60103","59980","60096","60567","61345","62201","62836","63026","62644","61833","61079","61032","62149","64622","68235","72504","76700","80324","83200","85451","87277","89005","90853","92898","94992","97017","98737","100031","100834","101222","101358","101455","101669","102046","102560","103159","103774","104341","104872","105366","105845",""
"Afghanistan","AFG","Population, total","SP.POP.TOTL","8996973","9169410","9351441","9543205","9744781","9956320","10174836","10399926","10637063","10893776","11173642","11475445","11791215","12108963","12412950","12689160","12943093","13171306","13341198","13411056","13356511","13171673","12882528","12537730","12204292","11938208","11736179","11604534","11618005","11868877","12412308","13299017","14485546","15816603","17075727","18110657","18853437","19357126","19737765","20170844","20779953","21606988","22600770","23680871","24726684","25654277","26433049","27100536","27722276","28394813","29185507","30117413","31161376","32269589","33370794","34413603","35383128","36296400","37172386",""
"Angola","AGO","Population, total","SP.POP.TOTL","5454933","5531472","5608539","5679458","5735044","5770570","5781214","5774243","5771652","5803254","5890365","6040777","6248552","6496962","6761380","7024000","7279509","7533735","7790707","8058067","8341289","8640446","8952950","9278096","9614754","9961997","10320111","10689250","11068050","11454777","11848386","12248901","12657366","13075049","13503747","13945206","14400719","14871570","15359601","15866869","16395473","16945753","17519417","18121479","18758145","19433602","20149901","20905363","21695634","22514281","23356246","24220661","25107931","26015780","26941779","27884381","28842484","29816748","30809762",""
"Albania","ALB","Population, total","SP.POP.TOTL","1608800","1659800","1711319","1762621","1814135","1864791","1914573","1965598","2022272","2081695","2135479","2187853","2243126","2296752","2350124","2404831","2458526","2513546","2566266","2617832","2671997","2726056","2784278","2843960","2904429","2964762","3022635","3083605","3142336","3227943","3286542","3266790","3247039","3227287","3207536","3187784","3168033","3148281","3128530","3108778","3089027","3060173","3051010","3039616","3026939","3011487","2992547","2970017","2947314","2927519","2913021","2905195","2900401","2895092","2889104","2880703","2876101","2873457","2866376",""
"Andorra","AND","Population, total","SP.POP.TOTL","13411","14375","15370","16412","17469","18549","19647","20758","21890","23058","24276","25559","26892","28232","29520","30705","31777","32771","33737","34818","36067","37500","39114","40867","42706","44600","46517","48455","50434","52448","54509","56671","58888","60971","62677","63850","64360","64327","64142","64370","65390","67341","70049","73182","76244","78867","80993","82684","83862","84463","84449","83747","82427","80774","79213","78011","77297","77001","77006",""
"Arab World","ARB","Population, total","SP.POP.TOTL","92197753","94724510","97334442","100034179","102832760","105736431","108758610","111899364","115136178","118437195","121785650","125164745","128598734","132161298","135952252","140040649","144453278","149161891","154111175","159218552","164420785","169698994","175061792","180505996","186035305","191650331","197338142","203084971","208889682","214753970","222653373","228731685","232956352","239243261","245449409","253107289","259000953","264822188","270575803","276393837","282344154","288432163","294665185","301113849","307862843","314965793","322452754","330290716","338395961","346629220","354890042","363158703","371443547","379705719","387907748","396028278","404024433","411898965","419790588",""
"United Arab Emirates","ARE","Population, total","SP.POP.TOTL","92418","100796","112118","125130","138039","149857","159976","169771","182627","203106","234514","277471","330974","394624","467451","548301","637922","735344","835508","931749","1019509","1096610","1164806","1228459","1293971","1366164","1446380","1533536","1627066","1725681","1828432","1937153","2052891","2173139","2294385","2415090","2539126","2671362","2813214","2966034","3134062","3302719","3478777","3711932","4068570","4588225","5300174","6168838","7089487","7917372","8549988","8946777","9141596","9197910","9214175","9262900","9360980","9487203","9630959",""
"Argentina","ARG","Population, total","SP.POP.TOTL","20481779","20817266","21153052","21488912","21824425","22159650","22494035","22828869","23168267","23517611","23880561","24259561","24653175","25056478","25462302","25865776","26264681","26661398","27061047","27471036","27896528","28338515","28794548","29262047","29737093","30216279","30698964","31184415","31668949","32148134","32618651","33079000","33529326","33970111","34402672","34828170","35246374","35657429","36063459","36467218","36870787","37275652","37681749","38087868","38491972","38892931","39289878","39684295","40080160","40482788","40788453","41261490","41733271","42202935","42669500","43131966","43590368","44044811","44494502",""
"Armenia","ARM","Population, total","SP.POP.TOTL","1874121","1941492","2009526","2077578","2145001","2211319","2276034","2339127","2401143","2462928","2525068","2587708","2650486","2712786","2773748","2832759","2889579","2944383","2997417","3049109","3099754","3148096","3193689","3238595","3285599","3335940","3392264","3451947","3504659","3536474","3538171","3505258","3442817","3363108","3283667","3217348","3168221","3133089","3108687","3089022","3069591","3050687","3033978","3017932","3000720","2981269","2958307","2932618","2907618","2888092","2877319","2876538","2884229","2897584","2912403","2925553","2936146","2944809","2951776",""
"American Samoa","ASM","Population, total","SP.POP.TOTL","20123","20602","21253","22034","22854","23672","24462","25248","25989","26703","27363","27984","28567","29100","29596","30052","30456","30838","31269","31845","32646","33701","34968","36412","37946","39519","41119","42740","44343","45894","47347","48685","49896","51020","52095","53161","54211","55221","56171","57053","57821","58494","59080","59504","59681","59562","59107","58365","57492","56683","56079","55759","55667","55713","55791","55812","55741","55620","55465",""
"Antigua and Barbuda","ATG","Population, total","SP.POP.TOTL","54131","55001","55841","56702","57641","58698","59915","61241","62521","63550","64177","64357","64133","63650","63120","62675","62367","62159","62036","61952","61865","61800","61779","61787","61786","61786","61754","61717","61771","62008","62528","63367","64471","65777","67204","68670","70173","71704","73224","74674","76016","77212","78295","79300","80336","81465","82704","84026","85397","86746","88028","89253","90409","91516","92562","93566","94527","95426","96286",""
"Australia","AUS","Population, total","SP.POP.TOTL","10276477","10483000","10742000","10950000","11167000","11388000","11651000","11799000","12009000","12263000","12507000","12937000","13177000","13380000","13723000","13893000","14033000","14192000","14358000","14514000","14692000","14927000","15178000","15369000","15544000","15758000","16018400","16263900","16532200","16814400","17065100","17284000","17495000","17667000","17855000","18072000","18311000","18517000","18711000","18926000","19153000","19413000","19651400","19895400","20127400","20394800","20697900","20827600","21249200","21691700","22031750","22340024","22733465","23128129","23475686","23815995","24190907","24601860","24992369",""
"Austria","AUT","Population, total","SP.POP.TOTL","7047539","7086299","7129864","7175811","7223801","7270889","7322066","7376998","7415403","7441055","7467086","7500482","7544201","7586115","7599038","7578903","7565525","7568430","7562305","7549425","7549433","7568710","7574140","7561910","7561434","7564985","7569794","7574586","7585317","7619567","7677850","7754891","7840709","7905633","7936118","7948278","7959017","7968041","7976789","7992324","8011566","8042293","8081957","8121423","8171966","8227829","8268641","8295487","8321496","8343323","8363404","8391643","8429991","8479823","8546356","8642699","8736668","8797566","8847037",""
"Azerbaijan","AZE","Population, total","SP.POP.TOTL","3895397","4030322","4171426","4315127","4456687","4592609","4721523","4843868","4960232","5071927","5180023","5284531","5385263","5483082","5579072","5674133","5768721","5863132","5957925","6053640","6150733","6249314","6349553","6452069","6557581","6666447","6778624","6893489","7010027","7126881","7159000","7271000","7382000","7495000","7597000","7685000","7763000","7838250","7913000","7982750","8048600","8111200","8171950","8234100","8306500","8391850","8484550","8581300","8763400","8947243","9054332","9173082","9295784","9416801","9535079","9649341","9757812","9854033","9942334",""
"Burundi","BDI","Population, total","SP.POP.TOTL","2797932","2852438","2907321","2964427","3026290","3094379","3170490","3253218","3336927","3413904","3479074","3529997","3569666","3605126","3646431","3700880","3770871","3854445","3949266","4051234","4157298","4266520","4379724","4497533","4621103","4750837","4886743","5027138","5168698","5307069","5438957","5564926","5685565","5798053","5898967","5987043","6060111","6122130","6185562","6267124","6378871","6525545","6704113","6909154","7131693","7364862","7607849","7862214","8126102","8397668","8675602","8958406","9245988","9540289","9844297","10160030","10487998","10827024","11175378",""
"Spain","ESP","Population, total","SP.POP.TOTL","30455000","30739250","31023366","31296651","31609195","31954292","32283194","32682947","33113134","33441054","33814531","34224490","34604469","34988947","35373335","35757900","36137812","36511638","36864898","37191330","37491165","37758631","37986012","38171525","38330364","38469512","38584624","38684815","38766939","38827764","38867322","38966376","39157685","39361262","39549108","39724050","39889852","40057389","40223509","40386875","40567864","40850412","41431558","42187645","42921895","43653155","44397319","45226803","45954106","46362946","46576897","46742697","46773055","46620045","46480882","46444832","46483569","46593236","46723749",""
"Italy","ITA","Population, total","SP.POP.TOTL","50199700","50536350","50879450","51252000","51675350","52112350","52519000","52900500","53235750","53537950","53821850","54073490","54381345","54751406","55110868","55441001","55718260","55955411","56155143","56317749","56433883","56501675","56543548","56564074","56576718","56593071","56596155","56601931","56629288","56671781","56719240","56758521","56797087","56831821","56843400","56844303","56860281","56890372","56906744","56916317","56942108","56974100","57059007","57313203","57685327","57969484","58143979","58438310","58826731","59095365","59277417","59379449","59539717","60233948","60789140","60730582","60627498","60536709","60431283",""
"Belgium","BEL","Population, total","SP.POP.TOTL","9153489","9183948","9220578","9289770","9378113","9463667","9527807","9580991","9618756","9646032","9655549","9673162","9711115","9741720","9772419","9800700","9818227","9830358","9839534","9848382","9859242","9858982","9856303","9855520","9855372","9858308","9861823","9870234","9901664","9937697","9967379","10004486","10045158","10084475","10115603","10136811","10156637","10181245","10203008","10226419","10251250","10286570","10332785","10376133","10421137","10478617","10547958","10625700","10709973","10796493","10895586","11038264","11106932","11159407","11209057","11274196","11331422","11375158","11422068",""
"Germany","DEU","Population, total","SP.POP.TOTL","72814900","73377632","74025784","74714353","75318337","75963695","76600311","76951336","77294314","77909682","78169289","78312842","78688452","78936666","78967433","78673554","78336950","78159814","78091820","78126350","78288576","78407907","78333366","78128282","77858685","77684873","77720436","77839920","78144619","78751283","79433029","80013896","80624598","81156363","81438348","81678051","81914831","82034771","82047195","82100243","82211508","82349925","82488495","82534176","82516260","82469422","82376451","82266372","82110097","81902307","81776930","80274983","80425823","80645605","80982500","81686611","82348669","82657002","82927922",""
"Greece","GRC","Population, total","SP.POP.TOTL","8331725","8398050","8448233","8479625","8510429","8550333","8613651","8684088","8740765","8772764","8792806","8831036","8888628","8929086","8962022","9046541","9188150","9308479","9429959","9548258","9642505","9729350","9789513","9846627","9895801","9934300","9967213","10000595","10036983","10089498","10196792","10319927","10399061","10460415","10512922","10562153","10608800","10661259","10720509","10761698","10805808","10862132","10902022","10928070","10955141","10987314","11020362","11048473","11077841","11107017","11121341","11104899","11045011","10965211","10892413","10820883","10775971","10754679","10727668",""
